id,productId,customerId,timestamp
1,19,1042,"2022-03-03T10:47:02.821Z"
2,16,1770,"2022-08-03T13:17:52.225Z"
3,8,1251,"2023-01-01T21:53:57.081Z"
4,14,302,"2022-08-31T19:06:30.014Z"
5,3,1666,"2022-12-16T20:37:51.442Z"
6,4,1052,"2023-05-19T01:52:58.811Z"
7,4,1094,"2022-04-27T22:02:29.701Z"
8,11,1475,"2022-03-08T00:19:46.388Z"
9,2,1407,"2023-02-03T14:59:01.889Z"
10,11,697,"2022-09-18T14:25:00.802Z"
11,10,488,"2022-03-18T17:10:40.175Z"
12,17,619,"2022-12-23T01:54:24.395Z"
13,1,390,"2022-07-08T00:21:35.425Z"
14,3,685,"2022-10-14T23:15:05.604Z"
15,20,471,"2022-11-10T07:55:24.625Z"
16,9,1888,"2022-01-06T18:17:14.546Z"
17,17,1209,"2022-02-10T17:19:55.368Z"
18,9,175,"2022-04-16T17:23:56.931Z"
19,20,525,"2022-06-23T21:28:16.620Z"
20,11,1454,"2023-01-04T23:07:06.665Z"
21,6,384,"2022-09-10T19:46:33.035Z"
22,5,965,"2022-04-07T13:04:59.198Z"
23,7,65,"2022-10-22T10:50:03.531Z"
24,15,1579,"2022-09-09T06:40:49.357Z"
25,18,1553,"2022-12-23T22:17:31.459Z"
26,1,1528,"2022-11-20T16:07:07.699Z"
27,14,1420,"2022-06-18T00:37:35.659Z"
28,20,125,"2022-05-31T11:56:04.162Z"
29,6,879,"2022-05-01T14:31:12.832Z"
30,9,1932,"2022-03-25T13:58:22.520Z"
31,6,124,"2022-05-26T04:01:05.478Z"
32,17,976,"2022-02-23T16:56:08.738Z"
33,4,1423,"2022-01-03T23:51:18.009Z"
34,8,599,"2022-08-21T18:06:03.873Z"
35,4,1472,"2023-04-13T18:35:58.045Z"
36,20,899,"2022-11-04T08:26:42.085Z"
37,13,1574,"2023-01-12T17:24:07.218Z"
38,8,1356,"2022-11-29T04:44:07.685Z"
39,16,668,"2023-06-19T19:55:16.070Z"
40,10,1414,"2022-06-13T16:23:45.392Z"
41,10,568,"2022-01-04T08:43:51.722Z"
42,11,1139,"2022-07-05T05:03:18.935Z"
43,13,1304,"2022-02-26T17:59:20.051Z"
44,17,477,"2022-08-30T12:52:10.411Z"
45,14,1286,"2023-06-12T01:36:07.834Z"
46,15,1231,"2023-01-26T21:57:26.060Z"
47,16,642,"2022-01-08T10:17:24.814Z"
48,9,311,"2022-12-06T00:38:25.826Z"
49,8,141,"2022-10-28T18:25:57.112Z"
50,14,831,"2022-11-21T02:22:45.935Z"
51,1,733,"2022-07-21T05:59:41.944Z"
52,4,523,"2022-07-11T11:47:51.179Z"
53,1,1788,"2022-02-14T21:53:41.031Z"
54,15,1782,"2022-04-30T02:01:47.305Z"
55,10,648,"2022-08-28T04:29:17.035Z"
56,4,1273,"2022-03-24T11:32:11.256Z"
57,3,530,"2022-05-23T10:57:07.050Z"
58,6,1157,"2023-06-18T07:55:15.680Z"
59,16,1822,"2023-01-26T01:23:49.865Z"
60,9,1040,"2022-03-21T17:18:48.927Z"
61,18,244,"2022-05-25T19:51:14.229Z"
62,6,1350,"2022-05-23T22:02:23.393Z"
63,13,1642,"2023-04-20T12:29:10.820Z"
64,11,1470,"2022-08-03T11:30:22.744Z"
65,14,1453,"2022-08-12T00:40:47.003Z"
66,18,138,"2022-06-28T04:19:59.161Z"
67,13,262,"2023-05-29T08:10:56.435Z"
68,15,462,"2022-01-22T08:42:33.090Z"
69,10,1986,"2023-07-04T09:03:34.306Z"
70,14,686,"2022-04-07T18:14:59.806Z"
71,9,643,"2022-06-13T15:26:47.187Z"
72,19,690,"2023-02-27T14:39:07.280Z"
73,7,619,"2023-07-03T01:26:47.717Z"
74,18,1288,"2022-11-19T20:36:13.550Z"
75,16,224,"2022-12-06T05:49:28.852Z"
76,2,1632,"2022-05-24T04:57:45.708Z"
77,16,80,"2022-05-27T20:27:18.609Z"
78,18,823,"2022-07-28T05:57:14.927Z"
79,7,1283,"2022-07-30T12:45:01.629Z"
80,7,843,"2023-03-07T18:14:01.091Z"
81,8,30,"2022-09-16T09:44:27.392Z"
82,19,790,"2022-05-19T19:02:47.423Z"
83,5,397,"2022-09-12T06:39:02.747Z"
84,14,1218,"2023-07-27T15:13:26.630Z"
85,18,514,"2022-04-18T15:45:55.357Z"
86,9,479,"2023-03-18T20:21:57.359Z"
87,20,1555,"2022-04-16T06:57:10.006Z"
88,18,719,"2023-04-11T08:43:48.709Z"
89,17,1794,"2022-08-09T08:23:38.540Z"
90,15,396,"2022-03-18T22:50:31.174Z"
91,15,1052,"2023-03-05T16:16:09.381Z"
92,6,687,"2022-08-30T04:17:48.901Z"
93,3,147,"2022-08-15T13:11:53.664Z"
94,1,1776,"2023-05-10T19:13:32.180Z"
95,20,1521,"2022-11-09T04:50:00.693Z"
96,16,322,"2023-04-23T03:42:57.676Z"
97,5,408,"2022-04-29T19:24:36.116Z"
98,18,747,"2023-02-12T07:35:58.956Z"
